word,lemma,part_of_speech,cefr_level,category,definition,persian_meaning,example,source,frequency_rank
analyze,analyze,verb,B1,toefl_academic,To examine something in detail.,تحلیل کردن,Researchers analyze data before publishing.,starter_curated,1
hypothesis,hypothesis,noun,B2,toefl_academic,An idea tested by research.,فرضیه,The hypothesis was supported by results.,starter_curated,2
significant,significant,adjective,B1,toefl_academic,Important or large enough to notice.,قابل توجه,There was a significant increase.,starter_curated,3
correlate,correlate,verb,B2,toefl_academic,To have a mutual relationship.,همبستگی داشتن,Stress correlates with poor sleep.,starter_curated,4
methodology,methodology,noun,B2,toefl_academic,A system of methods used in study.,متدولوژی,The methodology section explains the design.,starter_curated,5
empirical,empirical,adjective,B2,toefl_academic,Based on observation or experiment.,تجربی,Empirical evidence supports the claim.,starter_curated,6
variable,variable,noun,B2,toefl_academic,A factor that can change in an experiment.,متغیر,Temperature is a key variable.,starter_curated,7
inference,inference,noun,B2,toefl_academic,A conclusion based on evidence.,استنتاج,We can draw an inference from the data.,starter_curated,8
validity,validity,noun,B2,toefl_academic,The quality of being logically sound.,روایی,The study checks the validity of the test.,starter_curated,9
paradigm,paradigm,noun,C1,toefl_academic,A typical pattern or model., پارادایم,A new paradigm changed the field.,starter_curated,10
synthesize,synthesize,verb,B2,toefl_academic,To combine ideas into a whole.,ترکیب کردن,Students synthesize sources in essays.,starter_curated,11
interpret,interpret,verb,B1,toefl_academic,To explain the meaning of something.,تفسیر کردن,How do you interpret these findings?,starter_curated,12
furthermore,furthermore,adverb,B2,academic_writing,In addition; moreover.,علاوه بر این,"Furthermore, the results were consistent.",starter_curated,13
nevertheless,nevertheless,adverb,B2,academic_writing,In spite of that; however.,با این حال,"Nevertheless, limitations remain.",starter_curated,14
consequently,consequently,adverb,B2,academic_writing,As a result.,در نتیجه,"Consequently, enrollment increased.",starter_curated,15
moreover,moreover,adverb,B2,academic_writing,Besides; in addition.,علاوه بر آن,"Moreover, costs were reduced.",starter_curated,16
therefore,therefore,adverb,B1,academic_writing,For that reason.,بنابراین,"Therefore, we reject the null hypothesis.",starter_curated,17
whereas,whereas,conjunction,B2,academic_writing,In contrast; while.,در حالی که,"Group A improved, whereas Group B did not.",starter_curated,18
hence,hence,adverb,B2,academic_writing,For this reason.,از این رو,"Hence, further study is needed.",starter_curated,19
clarify,clarify,verb,B1,academic_writing,To make something clear.,روشن کردن,Please clarify your main argument.,starter_curated,20
argue,argue,verb,B1,academic_writing,To give reasons for a view.,استدلال کردن,The author argues that policy failed.,starter_curated,21
demonstrate,demonstrate,verb,B1,academic_writing,To show clearly.,نشان دادن,The chart demonstrates a clear trend.,starter_curated,22
illustrate,illustrate,verb,B1,academic_writing,To explain with examples.,مثال زدن,This case illustrates the problem.,starter_curated,23
emphasize,emphasize,verb,B1,academic_writing,To give special importance.,تأکید کردن,The professor emphasized thesis structure.,starter_curated,24
appointment,appointment,noun,A2,daily_life_us,A scheduled meeting.,قرار ملاقات,I have a doctor's appointment at nine.,starter_curated,25
grocery,grocery,noun,A2,daily_life_us,A store selling food.,مواد غذایی / سوپرمارکت,She stopped at the grocery after work.,starter_curated,26
lease,lease,noun,B1,daily_life_us,A rental contract.,اجاره‌نامه,We signed a one-year lease.,starter_curated,27
roommate,roommate,noun,A2,daily_life_us,A person you share housing with.,هم‌اتاقی,My roommate splits the rent.,starter_curated,28
checkout,checkout,noun,A2,daily_life_us,The place you pay in a store.,صندوق پرداخت,The checkout line was long.,starter_curated,29
commute,commute,noun,B1,daily_life_us,Travel between home and work.,رفت‌وآمد,My commute takes forty minutes.,starter_curated,30
utility,utility,noun,B1,daily_life_us,A basic service like electricity.,خدمات عمومی,Utilities are included in the rent.,starter_curated,31
insurance,insurance,noun,B1,daily_life_us,Protection against financial loss.,بیمه,Health insurance covers checkups.,starter_curated,32
receipt,receipt,noun,A2,daily_life_us,Proof of payment.,رسید,Keep the receipt for returns.,starter_curated,33
tip,tip,noun,A2,daily_life_us,Extra money for service.,انعام,A fifteen percent tip is common.,starter_curated,34
zip code,zip code,noun,A2,daily_life_us,A postal code in the US.,کد پستی,Enter your zip code on the form.,starter_curated,35
driver's license,driver's license,noun,A2,daily_life_us,Official permit to drive.,گواهینامه رانندگی,Bring your driver's license to the DMV.,starter_curated,36
enrollment,enrollment,noun,B1,university,The act of registering for school.,ثبت‌نام,Enrollment closes next Friday.,starter_curated,37
syllabus,syllabus,noun,B1,university,A course outline.,سیلabus / برنامه درسی,The syllabus lists all assignments.,starter_curated,38
prerequisite,prerequisite,noun,B2,university,A required prior course.,پیش‌نیاز,Calculus is a prerequisite.,starter_curated,39
tuition,tuition,noun,B1,university,Money paid for instruction.,شهریه,Tuition increased this year.,starter_curated,40
semester,semester,noun,B1,university,Half of an academic year.,ترم,She studied abroad last semester.,starter_curated,41
dormitory,dormitory,noun,B1,university,Student residence on campus.,خوابگاه,He lives in a dormitory.,starter_curated,42
registrar,registrar,noun,B2,university,Office managing student records.,اداره آموزش,Visit the registrar to update records.,starter_curated,43
scholarship,scholarship,noun,B1,university,Financial aid for study.,بورسیه,She won a merit scholarship.,starter_curated,44
credits,credits,noun,B1,university,Units measuring completed courses.,واحد درسی,The course is worth three credits.,starter_curated,45
faculty,faculty,noun,B2,university,Teaching staff at a university.,هیئت علمی,Faculty office hours are posted online.,starter_curated,46
thesis,thesis,noun,B2,university,A long research paper for a degree.,پایان‌نامه,He is writing his master's thesis.,starter_curated,47
dissertation,dissertation,noun,C1,university,A doctoral research project.,رساله دکتری,Her dissertation focuses on genetics.,starter_curated,48
diagnosis,diagnosis,noun,B1,healthcare,Identification of a disease.,تشخیص,The diagnosis was confirmed by tests.,starter_curated,49
prescription,prescription,noun,B1,healthcare,A doctor's written order for medicine.,نسخه,The pharmacist filled the prescription.,starter_curated,50
symptom,symptom,noun,B1,healthcare,A sign of illness.,علامت,Fever is a common symptom.,starter_curated,51
vaccination,vaccination,noun,B1,healthcare,Treatment to prevent disease.,واکسیناسیون,Vaccination reduces infection risk.,starter_curated,52
chronic,chronic,adjective,B2,healthcare,Long-lasting or recurring.,مزمن,Diabetes is a chronic condition.,starter_curated,53
physician,physician,noun,B2,healthcare,A medical doctor.,پزشک,Ask your physician about side effects.,starter_curated,54
referral,referral,noun,B2,healthcare,Sending a patient to a specialist.,ارجاع,You need a referral for the specialist.,starter_curated,55
pharmacy,pharmacy,noun,A2,healthcare,A place where medicine is sold.,داروخانه,The pharmacy opens at eight.,starter_curated,56
treatment,treatment,noun,B1,healthcare,Medical care for illness.,درمان,Early treatment improves outcomes.,starter_curated,57
preventive,preventive,adjective,B2,healthcare,Intended to stop disease.,پیشگیرانه,Preventive care includes screenings.,starter_curated,58
screening,screening,noun,B1,healthcare,Testing for disease early.,غربالگری,Screening detected the issue early.,starter_curated,59
dosage,dosage,noun,B2,healthcare,The amount of medicine to take.,دوز,Follow the dosage on the label.,starter_curated,60
bacteria,bacteria,noun,B1,microbiology,Microscopic living organisms.,باکتری,Some bacteria are beneficial.,starter_curated,61
virus,virus,noun,B1,microbiology,A tiny infectious agent.,ویروس,The virus spreads through droplets.,starter_curated,62
pathogen,pathogen,noun,B2,microbiology,An organism causing disease.,عامل بیماری,The lab identified the pathogen.,starter_curated,63
antibiotic,antibiotic,noun,B1,microbiology,Medicine that kills bacteria.,آنتی‌بیوتیک,Antibiotics do not treat viruses.,starter_curated,64
culture,culture,noun,B2,microbiology,Growing microorganisms for study.,کشت,They sent a blood culture to the lab.,starter_curated,65
specimen,specimen,noun,B2,microbiology,A sample for testing.,نمونه,Collect the specimen carefully.,starter_curated,66
immune,immune,adjective,B1,microbiology,Protected against disease.,ایمن,Vaccines help you become immune.,starter_curated,67
genome,genome,noun,B2,microbiology,All genetic material of an organism.,ژنوم,Scientists sequenced the genome.,starter_curated,68
enzyme,enzyme,noun,B2,microbiology,A protein that speeds reactions.,آنزیم,Enzymes break down nutrients.,starter_curated,69
mutation,mutation,noun,B2,microbiology,A change in genetic material.,جهش,The mutation affects protein function.,starter_curated,70
strain,strain,noun,B2,microbiology,A subtype of a microorganism., strain / سویه,A new strain was detected.,starter_curated,71
contamination,contamination,noun,B2,microbiology,Presence of unwanted substances.,آلودگی,Avoid contamination in the lab.,starter_curated,72
visa,visa,noun,B1,immigration,Official permission to enter a country.,ویزا,She applied for a student visa.,starter_curated,73
residency,residency,noun,B2,immigration,Legal right to live somewhere.,اقامت,Permanent residency takes years.,starter_curated,74
citizenship,citizenship,noun,B1,immigration,Legal membership in a country.,تابعیت,Citizenship requires an exam.,starter_curated,75
passport,passport,noun,A2,immigration,Official travel document.,گذرنامه,Renew your passport before travel.,starter_curated,76
customs,customs,noun,B1,immigration,Border control for goods.,گمرک,Declare items at customs.,starter_curated,77
green card,green card,noun,B1,immigration,US permanent resident card.,گرین کارت,He received his green card last year.,starter_curated,78
asylum,asylum,noun,B2,immigration,Protection for refugees.,پناهندگی,They applied for political asylum.,starter_curated,79
sponsor,sponsor,noun,B1,immigration,A person or group supporting an applicant.,اسپانسر / حامی,You need a sponsor for the visa.,starter_curated,80
documentation,documentation,noun,B1,immigration,Official papers required.,مدارک,Gather all documentation before the interview.,starter_curated,81
eligibility,eligibility,noun,B2,immigration,Qualification for a program.,صلاحیت / واجد شرایط بودن,Check eligibility requirements online.,starter_curated,82
renewal,renewal,noun,B1,immigration,Extending a document's validity.,تمدید,Visa renewal can take weeks.,starter_curated,83
interview,interview,noun,A2,immigration,A formal meeting for assessment.,مصاحبه,Prepare for the visa interview.,starter_curated,84
look up,look up,phrasal verb,B1,phrasal_verbs,To search for information.,جستجو کردن,Look up the word in a dictionary.,starter_curated,85
figure out,figure out,phrasal verb,B1,phrasal_verbs,To understand or solve.,فهمیدن / حل کردن,I can't figure out this problem.,starter_curated,86
carry out,carry out,phrasal verb,B2,phrasal_verbs,To perform or conduct.,انجام دادن,Carry out the experiment carefully.,starter_curated,87
set up,set up,phrasal verb,B1,phrasal_verbs,To arrange or establish.,راه‌اندازی کردن,Set up a study schedule.,starter_curated,88
break down,break down,phrasal verb,B1,phrasal_verbs,To divide into parts.,تجزیه کردن,Break down the essay into sections.,starter_curated,89
point out,point out,phrasal verb,B1,phrasal_verbs,To indicate or mention.,اشاره کردن,She pointed out a grammar error.,starter_curated,90
come up with,come up with,phrasal verb,B1,phrasal_verbs,To produce an idea.,پیشنهاد دادن,Come up with a thesis statement.,starter_curated,91
turn in,turn in,phrasal verb,A2,phrasal_verbs,To submit work.,تحویل دادن,Turn in the assignment by midnight.,starter_curated,92
fill out,fill out,phrasal verb,A2,phrasal_verbs,To complete a form.,پر کردن (فرم),Fill out the application online.,starter_curated,93
go over,go over,phrasal verb,B1,phrasal_verbs,To review carefully.,مرور کردن,Go over your notes before the test.,starter_curated,94
run into,run into,phrasal verb,B1,phrasal_verbs,To meet unexpectedly.,برخوردن با,I ran into my professor on campus.,starter_curated,95
put off,put off,phrasal verb,B1,phrasal_verbs,To postpone.,به تعویق انداختن,Don't put off studying.,starter_curated,96
make a decision,make a decision,collocation,B1,collocations,To choose after thinking.,تصمیم گرفتن,You need to make a decision soon.,starter_curated,97
take responsibility,take responsibility,collocation,B2,collocations,To accept duty for something.,مسئولیت پذیرفتن,Leaders take responsibility for outcomes.,starter_curated,98
conduct research,conduct research,collocation,B2,collocations,To do systematic study.,تحقیق انجام دادن,She conducts research on cancer.,starter_curated,99
raise a question,raise a question,collocation,B2,collocations,To bring up an issue.,سؤالی مطرح کردن,The article raises a question about ethics.,starter_curated,100
pose a problem,pose a problem,collocation,B2,collocations,To create a difficulty.,مشکل ایجاد کردن,Funding poses a problem for the lab.,starter_curated,101
reach a conclusion,reach a conclusion,collocation,B2,collocations,To decide after analysis.,به نتیجه رسیدن,We reached a conclusion after review.,starter_curated,102
draw attention,draw attention,collocation,B2,collocations,To make people notice.,توجه جلب کردن,The headline drew attention to the issue.,starter_curated,103
meet requirements,meet requirements,collocation,B1,collocations,To satisfy conditions.,برآورده کردن الزامات,Your essay must meet requirements.,starter_curated,104
submit an application,submit an application,collocation,B1,collocations,To send a formal request.,ارسال درخواست,Submit an application before the deadline.,starter_curated,105
gain experience,gain experience,collocation,B1,collocations,To acquire practical knowledge.,تجربه کسب کردن,Internships help you gain experience.,starter_curated,106
play a role,play a role,collocation,B1,collocations,To have an effect or part.,نقش داشتن,Sleep plays a role in memory.,starter_curated,107
make progress,make progress,collocation,B1,collocations,To move forward.,پیشرفت کردن,You are making progress in writing.,starter_curated,108
